,lin,lin,lin,gut,gut,gut,mc,mc,mc
,A,B,C,A,B,C,A,B,C
0,0.0073923930482306995,0.004716380373356014,0.0030902870121272117,0.0073523148240462145,0.00470916653568266,0.003077864958915509,0.0072639185032252925,0.004686664333291068,0.0031309152539868972
1,0.011915433408206845,0.01135244287354729,0.0031011052666074976,0.01191576497682125,0.011352218365968104,0.00309420288656387,0.011920162613476743,0.011349791326780642,0.0030754078924355175
2,0.009221598590161766,0.008343559716644343,0.0029224651138457427,0.009229077111816902,0.008343917373618661,0.0029297178088178153,0.00920107299247682,0.008340476058396785,0.0028923452883277095
3,0.007881494814018175,0.01671674049282886,0.0029694506047553905,0.007883443617469834,0.016718340877584264,0.0029703104811235363,0.007876021306045646,0.016716562395239977,0.003059106096653267
4,0.004158928717809945,0.003730240555242658,0.002699761290355887,0.0041571996138193386,0.003731954820036195,0.0026830933735861565,0.004214846693463312,0.00373501065537049,0.0027883515230514876
5,0.011870911364578416,0.009763195847992592,0.003673574546864704,0.01187333349068631,0.009764898912608242,0.003678212923171571,0.01187714731162423,0.00976398999288174,0.003662510865089998
6,0.018301790080157525,0.012088392439891304,0.0029843325441379852,0.01830272805109876,0.012089081590476478,0.002975435046477752,0.018308530516872586,0.012089918123160716,0.002937604985854053
7,0.008812791958070668,0.00678800589179073,0.004782917833444633,0.008815407218128728,0.006792149296905329,0.004790408567439005,0.008818917355720001,0.0067884608226036,0.004788462358144157
8,0.009184997991117437,0.00891537897492082,0.003036265559851063,0.009181815370085554,0.008911598255926086,0.0030224325057150118,0.009179498781227157,0.008909715421024662,0.0030276280482154205
9,0.01578178193486081,0.011721024953185076,0.0039772410636575535,0.015787981139180826,0.011720564907751444,0.004017259436069855,0.01577831594164372,0.011718469334654749,0.003982447424368118
10,0.010387625873928552,0.008285367732947824,0.002035192983187065,0.010382187563207306,0.008288937086076968,0.0020071236318035543,0.010443300743536065,0.008305359638581975,0.0021618190684849015
11,0.018302935720253082,0.018201633663932973,0.006900470968159011,0.018295625082819993,0.018202834991516145,0.00685435743494976,0.018331170407948627,0.018204304062175648,0.007084884434527934
12,0.004826141983335689,0.006881186052929456,0.003115596858575474,0.004797324045647196,0.006872189081485874,0.003054809335443157,0.004875159253061445,0.0068719753213618085,0.0031334564102809977
13,0.00961190274106988,0.009263500944571167,0.0029638279070828793,0.009613708642479155,0.009265805382383897,0.0029625564333122622,0.009604242919245986,0.009265742350621168,0.0029595971162341903
14,0.011191339672058155,0.009143003308318229,0.0032810299703503235,0.011188950533727229,0.009140701193778748,0.003269071475453716,0.011167507935220826,0.00912786315388776,0.0031765730986059917
15,0.00523754553280301,0.006110067618906378,0.002895720396058711,0.005235598263805549,0.006107635846672094,0.002878700639436157,0.005285111456146941,0.0061160503168667234,0.0030572017267799507
16,0.015403874494294053,0.010667799855567782,0.0029910510532666704,0.015405818802113568,0.010669545690057127,0.00299584430764654,0.015428930918915272,0.010676949104556598,0.0031611066536114053
17,0.011381405636081329,0.008726307112685428,0.003023518509691799,0.0113927521537332,0.008735081597626588,0.003070595292513871,0.011391973328667256,0.008731309486569673,0.003034742813365714
18,0.003238691883372144,0.003298359914114322,0.002729810530197991,0.003230051086048012,0.003295765165550374,0.0027387619746116463,0.0032316215846954887,0.0032978765827737745,0.0027406508007402253
19,0.0046102315492351255,0.008070191033991972,0.0030114254559489143,0.00459658680223658,0.008067108200463037,0.0029640040580688892,0.004632311611883994,0.008068934294563934,0.0030646365986966703
20,0.005512885963825625,0.009606512014328576,0.0032083233693111454,0.005524200946344511,0.009606834689031283,0.003221289691217302,0.005612876711428455,0.009627837976681571,0.0036854268075590777
21,0.007886035502381813,0.013195641234959015,0.00364855357852666,0.007893520969941361,0.013195677358400885,0.003660725133004156,0.007867303032503452,0.01317748606442617,0.003626639865974415
22,0.009613639898075317,0.005071168856187793,0.00318435870081527,0.00960113210247359,0.005069196455407115,0.003143382073709761,0.009554147226746239,0.005066172888323507,0.0030422436189332666
23,0.003460865774627435,0.005629273050414877,0.0032394597761102985,0.0034770994712066904,0.005625558146117464,0.0032727016691961983,0.0035013138028726467,0.0056220231395719845,0.003356484015768175
24,0.008740624888150306,0.01729638079638551,0.0030618988438261773,0.008742020647315834,0.01729784494171747,0.003060301632122301,0.008756213780655085,0.017299856870957135,0.0030910594059724685
25,0.004597245727529055,0.004564327221448015,0.003381809196345003,0.004575538050077204,0.004558375196772984,0.003342565388101205,0.004591207136810592,0.00456390710837163,0.003373937565184038
26,0.003806961826180206,0.005222871077754371,0.002575093346181372,0.00380692497735749,0.0052202225600381374,0.0025817806652433492,0.0038317813985465844,0.005217244630054372,0.002671104442595315
27,0.011586250652631962,0.005608671854338626,0.0039452777249540626,0.011578680392800803,0.0055978350275594935,0.00395430507429407,0.01159907984843804,0.005592002259435129,0.003844895862567523
28,0.011300790407154553,0.010817189500644751,0.004227499107641486,0.011305682909831296,0.010816069281258283,0.004237984623773865,0.011328391156135651,0.010830320233619288,0.004156726557988234
29,0.02067201581707946,0.014247179951796524,0.003441942380745795,0.020673014148299584,0.014249936196132998,0.003434248690368383,0.02067324807264818,0.014250250309592512,0.0034319838369751025
30,0.01184045507453369,0.01026072705410281,0.003313118192652203,0.011855949532753844,0.01026911596972035,0.0033810739238912175,0.011909049723309738,0.010279899146199567,0.0036924554680765813
31,0.015288235796345948,0.007298054219402201,0.003423008933604291,0.01528193425550625,0.007296760491681446,0.003382650777485585,0.015259135100915531,0.007295548579344987,0.003334105962083076
32,0.013622398106849804,0.006556428986861748,0.004078128811833341,0.013624241019946724,0.006558571545443951,0.004105093157398517,0.013624111445174386,0.006557677646933327,0.0040771380786088895
33,0.019537265968883204,0.04334218793733512,0.005457657475807684,0.019539720187639723,0.0433414786725265,0.0054438521078875235,0.019551339943133392,0.04333976928974576,0.005413777597069698
34,0.010424888131075477,0.00726819531945274,0.004277427331333511,0.010427634626245278,0.007269294969909977,0.004286151429113792,0.01043556375087688,0.007271643015356482,0.0042604644467368925
35,0.003859635714900116,0.004596174476212332,0.003773208732796409,0.003835629491490406,0.004582189334463464,0.00373139204251309,0.0038530166545783684,0.004582527063946333,0.003762014220672982
36,0.008961680624000832,0.008088764831967426,0.002462243041490054,0.008944659552324383,0.008089350684880963,0.002422862031684349,0.008972752389930285,0.008099247876283317,0.0024745490045739076
37,0.005322612443112692,0.009257291376501933,0.0034154698382209436,0.005334880004138301,0.009263428849895014,0.0034394763245737497,0.005320800548329039,0.009259527006086165,0.003435712682800042
38,0.007378409679042751,0.013309471032448993,0.003237623394557488,0.007368232892929559,0.01331065582140026,0.0032268706887530326,0.007400800616173162,0.013310239508891994,0.0031017857880118235
39,0.010198553961582299,0.006050454257344787,0.0034317879985909005,0.010181972282745574,0.00604337848922633,0.0033615649187357555,0.010138863784890265,0.006029756979967695,0.003166215477235997
40,0.009955600754083199,0.00927698219258872,0.0027176638960044754,0.009953946871174848,0.009275274200528849,0.002699498287414463,0.00995470283942125,0.009275425232665774,0.0026744071369498527
41,0.008030980552581904,0.011441234646956488,0.004065985068290333,0.008022863775793147,0.011442466676630356,0.004040362294430849,0.008016336313930564,0.011441101301888617,0.003995956794137386
42,0.00780577791602814,0.006679882240488813,0.0038710856755574635,0.007801186804865401,0.006670415522977726,0.003858200623434263,0.0077982708694195385,0.00667007834584287,0.003853121350920742
43,0.009499558523482035,0.0037865128924674694,0.002761169894411338,0.009497010021743262,0.0037889404294089817,0.0027687580415353507,0.009454923952952056,0.003754146000956151,0.002701638023456787
44,0.0024832529646285047,0.0029686495402158433,0.0021973060954473397,0.002491577522089688,0.002967913163933206,0.002205306122303439,0.0025327063195042703,0.002973212820188417,0.0023091737805615805
45,0.0053809022220309335,0.010646573037104617,0.0026723326943695683,0.005386284801068828,0.010651785484737239,0.002728184245641114,0.005415675643265243,0.010651208038105665,0.0027041384722435763
46,0.007780790790592322,0.007730713023947701,0.0024240432794250207,0.007780624876294944,0.007729088504397828,0.002431099626210774,0.007779953996032863,0.007727963500336799,0.002438904560687008
47,0.005064013858491031,0.007079632879304902,0.0042354579021551975,0.005080979388742483,0.007085194088909241,0.004259036260510761,0.005046338434713737,0.007094816296240981,0.004088489536549568
48,0.007388656002377592,0.014666193129568078,0.00260454832154162,0.007389735833501909,0.01466715950733412,0.0026029047531910664,0.007397461186507732,0.014670170372422194,0.002518750990038957
49,0.0061750324227972135,0.007017094773118922,0.0037728710989420816,0.006193926752908247,0.007021125978887358,0.0038153243065305446,0.006257523312444797,0.007023612129054749,0.003913857600226831
50,0.013015259751571648,0.015927700260779432,0.003273236040382668,0.013020063983186952,0.015933237387380554,0.003290688094204163,0.013017287113040505,0.015930424990894698,0.003280156181367944
51,0.01638362259946501,0.0159419812108345,0.0043533260592562096,0.01639003478882816,0.015946314558507157,0.0043784830130228596,0.016390027843069064,0.015953400212875286,0.004431206737032845
52,0.00878959419303384,0.007688104674910682,0.005118018818100872,0.008793128841486558,0.007689728635971223,0.005153387047113469,0.008797103066289474,0.0076915443794820975,0.005144860402776405
53,0.004177291018722052,0.005211899733410603,0.002624186558081521,0.004169459792962124,0.0052037682473637156,0.002612179982485647,0.004146320338854466,0.005204052474771114,0.0025288252208374063
